4,Integer
"Chemist, analytical",315
Actuary,267
Horticultural therapist,192
Claims inspector/assessor,114
Video editor,221
"Psychologist, forensic",159
"Merchandiser, retail",210
Chartered management accountant,257
"Pharmacist, community",288
Financial adviser,259
Paramedic,234
Chartered loss adjuster,30
Dramatherapist,174
Electrical engineer,152
Diagnostic radiographer,25
Press sub,60
Bookseller,106
Marketing executive,77
Patent attorney,290
"Surveyor, insurance",200
Naval architect,40
"Engineer, control and instrumentation",231
"Engineer, agricultural",307
"Therapist, nutritional",29
"Engineer, agricultural",149
"Runner, broadcasting/film/video",16
"Engineer, broadcasting (operations)",48
Personnel officer,180
"Conservation officer, historic buildings",54
Town planner,60
Technical sales engineer,225
Electrical engineer,306
Art gallery manager,157
Market researcher,150
Comptroller,286
"Scientist, biomedical",104
"Nurse, learning disability",56
Telecommunications researcher,309
Geoscientist,209
Horticultural consultant,102
Hydrogeologist,284
"Teacher, English as a foreign language",241
Customer service manager,113
Nutritional therapist,145
Logistics and distribution manager,235
Field trials officer,61
Warden/ranger,238
Petroleum engineer,299
Nature conservation officer,153
General practice doctor,236
"Civil engineer, consulting",42
Firefighter,53
Horticultural therapist,97
Field seismologist,26
Town planner,240
Historic buildings inspector/conservation officer,318
Field seismologist,174
Broadcast engineer,243
Data scientist,35
Chartered public finance accountant,245
Planning and development surveyor,217
Production manager,175
"Designer, industrial/product",143
Musician,102
Industrial buyer,166
"Administrator, sports",104
"Engineer, civil (consulting)",168
Secretary/administrator,153
Occupational psychologist,251
Freight forwarder,65
"Sound technician, broadcasting/film/video",62
Chief Financial Officer,167
"Journalist, magazine",162
Brewing technologist,293
Dentist,217
Banker,175
Garment/textile technologist,49
Education administrator,64
Risk manager,105
Museum education officer,156
Equality and diversity officer,145
International aid/development worker,110
Broadcast presenter,262
Politician's assistant,275
Multimedia programmer,41
Health physicist,146
"Engineer, drilling",64
Catering manager,124
"Physicist, medical",272
Emergency planning/management officer,159
Chief Executive Officer,68
"Engineer, manufacturing systems",222
Chiropodist,101
Scientific laboratory technician,157
"Runner, broadcasting/film/video",166
Cytogeneticist,62
"Horticulturist, commercial",128
"Psychologist, forensic",282
Office manager,315
"Engineer, manufacturing systems",292
Building services engineer,309
Biomedical scientist,120
Risk manager,218
IT sales professional,306
Trade union research officer,282
Careers information officer,70
"Designer, ceramics/pottery",84
"Designer, jewellery",191
Volunteer coordinator,146
Prison officer,176
"Pilot, airline",212
Senior tax professional/tax inspector,169
"Producer, radio",219
Insurance broker,90
"Engineer, manufacturing systems",242
English as a foreign language teacher,123
Translator,260
Horticultural consultant,279
Politician's assistant,233
Animator,296
Retail manager,112
Financial trader,49
Fish farm manager,276
Leisure centre manager,181
"Engineer, civil (contracting)",81
Chartered certified accountant,313
"Biochemist, clinical",56
Occupational therapist,151
"Psychologist, clinical",287
Land,217
"Engineer, materials",212
Multimedia programmer,61
Ceramics designer,197
Agricultural engineer,181
Museum/gallery exhibitions officer,274
Interior and spatial designer,51
"Surveyor, rural practice",254
Chartered public finance accountant,148
Warehouse manager,84
Diagnostic radiographer,73
Visual merchandiser,293
"Clinical scientist, histocompatibility and immunogenetics",143
Media planner,123
"Education officer, museum",92
Database administrator,62
Amenity horticulturist,73
Research scientist (physical sciences),247
Sales executive,225
Technical author,299
"Designer, furniture",301
Legal executive,136
"Designer, fashion/clothing",152
"Psychotherapist, dance movement",38
Higher education lecturer,45
"Editor, magazine features",255
Energy engineer,154
Oceanographer,71
Environmental consultant,297
Stage manager,288
"Editor, commissioning",243
Fish farm manager,159
Recycling officer,118
Research scientist (medical),222
"Accountant, chartered public finance",175
Sports coach,241
"Scientist, audiological",215
"Lecturer, higher education",206
Ergonomist,47
Agricultural engineer,71
Advertising art director,71
Museum/gallery exhibitions officer,248
"Engineer, agricultural",308
"Pharmacist, community",77
Higher education lecturer,238
Office manager,292
Fitness centre manager,31
Advertising account planner,234
"Editor, film/video",129
Health promotion specialist,266
"Scientist, research (life sciences)",284
Fashion designer,193
Veterinary surgeon,88
Bookseller,276
Immigration officer,28
Soil scientist,18
Probation officer,154
Prison officer,167
"Therapist, speech and language",313
"Therapist, nutritional",97
Illustrator,209
Naval architect,22
"Engineer, automotive",21
English as a second language teacher,67
"Development worker, community",250
"Geneticist, molecular",118
IT sales professional,25
Chemical engineer,211
Immigration officer,305
Exhibition designer,19
Careers information officer,274
"Engineer, automotive",245
Chartered management accountant,252
Aeronautical engineer,275
Emergency planning/management officer,220
Politician's assistant,74
Actuary,203
Higher education careers adviser,238
Waste management officer,197
"Journalist, magazine",140
Speech and language therapist,293
Technical brewer,210
"Engineer, aeronautical",187
Music tutor,247
"Administrator, local government",60
"Journalist, newspaper",30
Child psychotherapist,296
Aeronautical engineer,260
"Research officer, government",165
Metallurgist,296
Sport and exercise psychologist,69
Financial planner,91
Environmental manager,240
Early years teacher,228
Museum/gallery conservator,164
Animal nutritionist,32
"Administrator, arts",276
Product/process development scientist,317
Furniture conservator/restorer,154
"Scientist, research (medical)",272
Maintenance engineer,302
Health and safety inspector,56
"Biochemist, clinical",296
