Name,Job,Salary
Health and safety adviser,Volunteer coordinator,25
Comptroller,"Horticulturist, commercial",25
"Designer, furniture",Farm manager,22
Operational researcher,Magazine features editor,22
Bonds trader,Dietitian,28
Computer games developer,"Engineer, control and instrumentation",20
Medical sales representative,Financial adviser,17
Health and safety inspector,Historic buildings inspector/conservation officer,20
"Scientist, research (physical sciences)",Best boy,25
Systems analyst,Chief of Staff,16
Minerals surveyor,Chief Financial Officer,17
Waste management officer,Community education officer,16
Marine scientist,Community development worker,17
Environmental health practitioner,Art gallery manager,17
Sport and exercise psychologist,Copy,20
"Designer, textile",Volunteer coordinator,31
Applications developer,"Engineer, control and instrumentation",32
Web designer,Counsellor,22
Youth worker,Volunteer coordinator,25
"Engineer, aeronautical",Television camera operator,21
Town planner,Counsellor,24
Community education officer,"Producer, radio",24
Risk manager,Legal executive,19
Field seismologist,Health and safety inspector,15
Forensic psychologist,Broadcast journalist,21
Equality and diversity officer,Television floor manager,22
"Scientist, research (maths)",Exhibition designer,21
Customer service manager,Arts development officer,27
Garment/textile technologist,"Programmer, applications",17
Physiological scientist,Hydrogeologist,29
"Lecturer, further education",Illustrator,17
Leisure centre manager,"Designer, television/film set",28
"Education officer, environmental",Television/film/video producer,28
Automotive engineer,Fitness centre manager,27
Learning disability nurse,Gaffer,16
Marine scientist,Production engineer,18
Broadcast journalist,Fitness centre manager,15
Chartered public finance accountant,"Horticulturist, commercial",26
Estate manager/land agent,Dispensing optician,31
Event organiser,Oceanographer,19
Newspaper journalist,Freight forwarder,31
Brewing technologist,Museum education officer,20
Youth worker,"Journalist, magazine",30
"Surveyor, land/geomatics","Buyer, retail",15
Oceanographer,Insurance underwriter,32
Research scientist (medical),Hydrogeologist,17
Personnel officer,General practice doctor,19
Community pharmacist,Academic librarian,27
Chief Marketing Officer,Records manager,29
"Engineer, manufacturing","Engineer, technical sales",16
Writer,"Teacher, music",30
Immunologist,Consulting civil engineer,16
Music tutor,Archaeologist,15
"Production designer, theatre/television/film",Illustrator,26
Medical secretary,Industrial/product designer,24
Heritage manager,Chief Marketing Officer,17
Press photographer,"Investment banker, corporate",24
"Conservator, furniture",Farm manager,18
Financial risk analyst,Visual merchandiser,23
Higher education careers adviser,Trade union research officer,20
Audiological scientist,Advertising account executive,29
Web designer,Diplomatic Services operational officer,16
Broadcast presenter,Personnel officer,26
Hospital doctor,"Administrator, charities/voluntary organisations",31
Energy manager,"Engineer, electrical",16
Careers adviser,Investment analyst,25
"Engineer, water",Public house manager,27
"Scientist, forensic",Media buyer,20
Intelligence analyst,Energy manager,26
"Teacher, early years/pre",Biomedical scientist,29
English as a second language teacher,Building services engineer,26
Commissioning editor,Chartered public finance accountant,21
Mudlogger,Ship broker,27
"Geologist, wellsite","Designer, fashion/clothing",20
English as a foreign language teacher,"Surveyor, mining",18
Microbiologist,"Engineer, communications",22
"Designer, furniture",Historic buildings inspector/conservation officer,22
"Designer, textile",Museum/gallery exhibitions officer,24
"Journalist, magazine","Psychologist, sport and exercise",29
Health promotion specialist,Personal assistant,23
"Psychologist, clinical",Orthoptist,27
Water engineer,Counsellor,27
Research scientist (life sciences),"Administrator, arts",29
Mechanical engineer,Ergonomist,16
Community arts worker,Careers information officer,32
Land/geomatics surveyor,Magazine journalist,23
Freight forwarder,"Therapist, music",17
Dispensing optician,Web designer,20
"Embryologist, clinical",Environmental health practitioner,24
Dancer,Interpreter,21
Film/video editor,Volunteer coordinator,28
Writer,"Journalist, broadcasting",31
Dispensing optician,"Radiographer, diagnostic",18
Site engineer,Farm manager,24
Hydrographic surveyor,IT technical support officer,32
Oncologist,Legal secretary,24
"Geologist, engineering","Geneticist, molecular",30
Advice worker,"Conservator, museum/gallery",15
"Surveyor, insurance",Minerals surveyor,21
Haematologist,Corporate treasurer,28
"Conservator, furniture",Fine artist,23
"Designer, multimedia",Planning and development surveyor,17
"Nurse, children's","Surveyor, mining",16
Oncologist,Psychiatric nurse,18
Industrial buyer,Museum education officer,27
Chief Financial Officer,"Therapist, nutritional",16
Astronomer,Accounting technician,25
Local government officer,Patent examiner,19
Conference centre manager,Government social research officer,15
Medical physicist,Jewellery designer,31
TEFL teacher,"Pharmacist, hospital",24
Trading standards officer,"Lecturer, further education",26
"Physicist, medical",Herpetologist,30
Radio broadcast assistant,Occupational therapist,18
"Radiographer, therapeutic",Nature conservation officer,27
"Teacher, primary school",Fine artist,31
Press photographer,"Geneticist, molecular",15
"Development worker, community",Product/process development scientist,17
"Engineer, maintenance (IT)","Nurse, children's",28
Health service manager,Production manager,26
Trading standards officer,Equality and diversity officer,18
Musician,"Scientist, research (maths)",32
"Horticulturist, commercial",Architectural technologist,18
Sports development officer,Intelligence analyst,22
Solicitor,"Psychologist, clinical",22
"Geologist, wellsite","Surveyor, planning and development",21
Surgeon,Sports administrator,17
Retail manager,Theatre manager,22
Metallurgist,"Education officer, museum",32
"Lecturer, further education",Data processing manager,25
"Teacher, adult education",Freight forwarder,28
Sports development officer,Electrical engineer,28
Speech and language therapist,Market researcher,30
Health service manager,Writer,22
Musician,"Pilot, airline",27
Physiotherapist,Civil Service administrator,20
Forensic psychologist,"Psychologist, educational",16
Translator,Technical sales engineer,28
Community education officer,Comptroller,21
Charity officer,Analytical chemist,21
Risk manager,Local government officer,32
"Education officer, community",Management consultant,15
Emergency planning/management officer,Occupational therapist,15
Personal assistant,Clinical molecular geneticist,30
"Conservator, furniture",Town planner,20
Dramatherapist,Bonds trader,29
Occupational therapist,Health physicist,24
"Teacher, music","Engineer, electrical",22
Music tutor,Customer service manager,31
Lobbyist,Futures trader,31
Teaching laboratory technician,Prison officer,18
Chiropodist,Health service manager,28
Actor,"Scientist, forensic",22
Product manager,Radio producer,27
Automotive engineer,Manufacturing systems engineer,23
Site engineer,Air traffic controller,20
"Education officer, community",Public relations officer,19
Records manager,Haematologist,28
Film/video editor,Printmaker,19
Aeronautical engineer,Tourist information centre manager,26
Public relations officer,Child psychotherapist,23
Food technologist,"Development worker, international aid",27
Facilities manager,"Designer, graphic",19
Actuary,Politician's assistant,29
Passenger transport manager,"Engineer, land",28
Television camera operator,"Doctor, general practice",30
"Scientist, biomedical","Biochemist, clinical",18
Haematologist,Jewellery designer,21
Contracting civil engineer,"Geologist, wellsite",21
Animal nutritionist,Dealer,21
Financial manager,Colour technologist,26
Higher education lecturer,Restaurant manager,16
"Accountant, chartered certified",Insurance risk surveyor,19
Psychotherapist,Child psychotherapist,25
Dietitian,"Engineer, control and instrumentation",25
Community development worker,Editorial assistant,23
"Surveyor, quantity",Air cabin crew,16
"Therapist, music",Barrister,17
Retail buyer,Architect,29
"Education officer, community",Solicitor,23
Personal assistant,Environmental education officer,31
Banker,Planning and development surveyor,23
Civil Service administrator,"Loss adjuster, chartered",19
"Optician, dispensing",Hydrographic surveyor,19
"Development worker, international aid",Broadcast journalist,30
Systems analyst,"Engineer, water",20
"Buyer, retail","Chemist, analytical",26
Data processing manager,Chemical engineer,23
"Conservator, museum/gallery",Farm manager,22
"Buyer, retail",Dentist,30
Tax inspector,Dramatherapist,29
"Engineer, structural",Physiological scientist,19
Careers adviser,"Research officer, trade union",22
Banker,Lexicographer,16
Herpetologist,Minerals surveyor,29
"Runner, broadcasting/film/video",Environmental education officer,32
Publishing rights manager,Land,21
Mechanical engineer,Secretary/administrator,26
Film/video editor,"Engineer, structural",23
Air cabin crew,Heritage manager,20
"Engineer, civil (contracting)",Adult guidance worker,21
Chief Strategy Officer,"Engineer, control and instrumentation",17
Commercial/residential surveyor,Public relations officer,30
Customer service manager,Insurance claims handler,28
"Education officer, environmental",Contracting civil engineer,28
Astronomer,Comptroller,18
Early years teacher,"Restaurant manager, fast food",16
"Administrator, education","Administrator, sports",22
Ranger/warden,Television camera operator,18
Cartographer,Geoscientist,15
"Surveyor, commercial/residential",Podiatrist,18
Scientific laboratory technician,"Engineer, agricultural",20
"Education officer, museum",Publishing copy,30
"Research officer, government",Aid worker,15
Field seismologist,"Engineer, structural",21
Acupuncturist,Trading standards officer,19
Purchasing manager,Banker,19
Technical author,Charity fundraiser,15
Health and safety adviser,"Therapist, art",29
Firefighter,Building services engineer,19
Financial adviser,Garment/textile technologist,25
Arts development officer,Immunologist,24
Optometrist,Legal secretary,32
Occupational hygienist,Logistics and distribution manager,30
"Copywriter, advertising",Archaeologist,23
Barrister,Product manager,16
"Designer, interior/spatial","Accountant, chartered management",27
Secretary/administrator,"Psychotherapist, dance movement",20
"Social research officer, government",Translator,19
Financial controller,"Editor, film/video",32
Administrator,Phytotherapist,27
Social worker,Cytogeneticist,30
Catering manager,Fashion designer,19
Medical technical officer,Energy manager,30
"Scientist, physiological",Primary school teacher,24
Pharmacologist,Paediatric nurse,24
Product/process development scientist,Technical author,22
Further education lecturer,Clinical biochemist,24
"Designer, graphic",Estate manager/land agent,23
Speech and language therapist,Clinical cytogeneticist,21
Catering manager,Counsellor,16
Quarry manager,Careers adviser,23
Bookseller,Landscape architect,27
"Conservation officer, historic buildings",Local government officer,15
Arts development officer,Fitness centre manager,32
Podiatrist,Chartered public finance accountant,29
"Scientist, physiological",Herbalist,29
Research scientist (medical),Forest/woodland manager,18
"Merchandiser, retail",Nutritional therapist,31
"Pharmacist, community",Waste management officer,21
Hydrographic surveyor,Agricultural consultant,26
Quantity surveyor,Civil Service administrator,31
Adult guidance worker,Warehouse manager,30
Horticultural consultant,Soil scientist,22
Chiropractor,Audiological scientist,26
Therapeutic radiographer,Midwife,26
Ecologist,Paramedic,30
Broadcast engineer,Amenity horticulturist,21
"Surveyor, minerals",Passenger transport manager,31
"Geneticist, molecular",Fish farm manager,15
Risk analyst,Clinical cytogeneticist,19
Pension scheme manager,Chiropractor,28
"Surveyor, rural practice","Buyer, industrial",23
"Engineer, structural",Sales promotion account executive,24
Research scientist (life sciences),Fine artist,31
Nutritional therapist,"Engineer, site",29
Financial controller,Higher education careers adviser,30
"Scientist, audiological",Industrial/product designer,28
Comptroller,Charity officer,28
Database administrator,Town planner,19
Colour technologist,Sports development officer,25
"Exhibitions officer, museum/gallery",Community arts worker,20
"Education officer, community","Buyer, retail",30
Print production planner,Air cabin crew,18
"Secretary, company",Insurance underwriter,19
Regulatory affairs officer,Youth worker,29
Newspaper journalist,"Radiographer, diagnostic",25
Fish farm manager,Associate Professor,15
"Teacher, English as a foreign language",Freight forwarder,27
Neurosurgeon,Catering manager,20
Brewing technologist,Special educational needs teacher,26
Local government officer,Wellsite geologist,26
Chief of Staff,"Programmer, applications",26
Chartered loss adjuster,"Accountant, chartered",29
Psychiatrist,Chartered accountant,28
Set designer,"Engineer, manufacturing",25
Network engineer,Trading standards officer,30
Hotel manager,"Journalist, broadcasting",27
"Lecturer, further education",Sports therapist,21
"Administrator, education",Meteorologist,19
Museum/gallery conservator,Sports administrator,32
Mudlogger,Ceramics designer,28
"Scientist, forensic","Engineer, mining",20
Artist,"Therapist, nutritional",15
"Development worker, community",Clothing/textile technologist,25
"Horticulturist, commercial",Haematologist,29
"Designer, exhibition/display","Lecturer, further education",25
Comptroller,"Designer, exhibition/display",24
"Investment banker, operational",Veterinary surgeon,26
Curator,"Teacher, special educational needs",21
Mudlogger,"Engineer, aeronautical",24
Historic buildings inspector/conservation officer,"Conservation officer, historic buildings",24
Fine artist,Office manager,26
"Teacher, music",Barrister's clerk,15
Emergency planning/management officer,Science writer,19
Location manager,"Engineer, energy",25
Soil scientist,Advice worker,31
"Surveyor, hydrographic","Research officer, government",21
"Psychologist, sport and exercise",Audiological scientist,16
"Scientist, audiological",Private music teacher,21
"Research officer, political party","Scientist, water quality",32
Market researcher,"Engineer, maintenance (IT)",20
Armed forces operational officer,Set designer,18
Solicitor,"Scientist, water quality",25
"Investment banker, corporate",Arboriculturist,18
Public relations officer,Volunteer coordinator,24
Exhibition designer,"Nurse, learning disability",18
Camera operator,"Engineer, chemical",30
Dance movement psychotherapist,Garment/textile technologist,30
Immunologist,Research scientist (physical sciences),20
Arts development officer,"Programme researcher, broadcasting/film/video",21
Glass blower/designer,Theatre director,31
Radio producer,"Therapist, drama",28
"Designer, multimedia",Food technologist,24
"Engineer, maintenance",Fast food restaurant manager,32
Ergonomist,Therapeutic radiographer,22
Charity officer,Market researcher,21
Colour technologist,"Psychotherapist, child",28
Surgeon,Chief Technology Officer,31
"Sound technician, broadcasting/film/video",Minerals surveyor,29
Jewellery designer,Human resources officer,15
Fisheries officer,Film/video editor,23
Technical sales engineer,Osteopath,27
Passenger transport manager,Commercial/residential surveyor,21
"Teacher, adult education",Media buyer,31
Sports development officer,"Engineer, maintenance (IT)",19
Health physicist,Industrial/product designer,30
Corporate treasurer,Technical brewer,18
Community development worker,Academic librarian,17
Water quality scientist,"Therapist, horticultural",27
"Designer, textile",Radio broadcast assistant,31
Systems analyst,Higher education careers adviser,26
"Research officer, government",Barrister's clerk,29
Personal assistant,"Investment banker, corporate",21
Advertising copywriter,Sports coach,21
Bookseller,Health visitor,32
Higher education careers adviser,Archivist,24
Podiatrist,Child psychotherapist,19
Textile designer,IT sales professional,32
"Engineer, chemical",Cabin crew,25
Media buyer,Print production planner,27
"Surveyor, rural practice","Designer, multimedia",28
Community arts worker,Freight forwarder,27
Magazine journalist,"Surveyor, building control",18
Legal secretary,Podiatrist,21
"Accountant, chartered","Engineer, automotive",19
Health physicist,Industrial buyer,16
Catering manager,Regulatory affairs officer,26
Estate agent,Government social research officer,31
"Psychologist, sport and exercise",Risk analyst,31
Marketing executive,"Scientist, clinical (histocompatibility and immunogenetics)",22
"Surveyor, building control",Dance movement psychotherapist,20
Dealer,"Conservation officer, nature",31
Arts administrator,"Surveyor, minerals",15
"Exhibitions officer, museum/gallery","Accountant, chartered public finance",26
Bonds trader,Bonds trader,31
"Geneticist, molecular","Education officer, environmental",25
Herpetologist,Social researcher,29
Scientific laboratory technician,Social researcher,20
Midwife,Chief Operating Officer,27
Animator,Tax inspector,29
Podiatrist,Recycling officer,22
"Programmer, systems","Scientist, water quality",19
Brewing technologist,Information officer,28
"Scientist, research (life sciences)",Astronomer,16
"Lecturer, further education","Geologist, wellsite",30
Site engineer,Sport and exercise psychologist,24
Legal executive,Government social research officer,27
"Engineer, petroleum",Dealer,28
Tourist information centre manager,Charity fundraiser,30
Dance movement psychotherapist,"Research officer, political party",30
Hydrographic surveyor,Dealer,31
Architectural technologist,"Exhibitions officer, museum/gallery",19
Sales promotion account executive,Quantity surveyor,27
"Engineer, drilling",Mechanical engineer,17
Fisheries officer,Ergonomist,28
Curator,Stage manager,16
Higher education lecturer,"Accountant, chartered management",20
Radio producer,Ceramics designer,31
Historic buildings inspector/conservation officer,Theatre stage manager,25
Volunteer coordinator,Educational psychologist,20
Risk manager,"Scientist, research (medical)",18
"Pharmacist, hospital",Magazine features editor,23
Energy manager,Industrial buyer,31
"Development worker, community",Clinical embryologist,25
"Production assistant, radio",Clinical molecular geneticist,25
Fine artist,Systems analyst,24
"Teacher, music",Community arts worker,30
Consulting civil engineer,"Engineer, energy",27
Environmental health practitioner,Bookseller,27
"Education officer, environmental",Museum/gallery curator,31
"Geologist, engineering","Nurse, children's",18
Marketing executive,"Engineer, aeronautical",25
Facilities manager,Public librarian,21
Merchant navy officer,"Investment banker, operational",32
Health promotion specialist,Politician's assistant,21
Horticultural consultant,Contracting civil engineer,19
Regulatory affairs officer,Herpetologist,28
Barista,Herpetologist,18
Manufacturing systems engineer,Dancer,18
Hospital doctor,Land/geomatics surveyor,29
Multimedia specialist,Oceanographer,30
"Doctor, general practice","Lecturer, further education",30
Software engineer,Technical author,24
"Accountant, chartered management",Manufacturing systems engineer,29
Financial controller,Advice worker,25
Landscape architect,Armed forces technical officer,32
Haematologist,"Teacher, adult education",17
Architectural technologist,"Lecturer, further education",31
Dispensing optician,"Loss adjuster, chartered",25
Electrical engineer,Information systems manager,19
Astronomer,"Engineer, maintenance (IT)",28
Financial controller,Research scientist (physical sciences),23
Food technologist,"Engineer, production",29
Horticultural therapist,"Radiographer, therapeutic",22
Clinical molecular geneticist,Film/video editor,16
Politician's assistant,Tax adviser,15
Child psychotherapist,Contractor,27
Chief Operating Officer,Meteorologist,26
"Psychologist, clinical",Passenger transport manager,19
"Designer, exhibition/display",Chief Executive Officer,23
Claims inspector/assessor,Public house manager,15
"Designer, ceramics/pottery","Designer, television/film set",32
Lawyer,"Surveyor, planning and development",26
Analytical chemist,"Administrator, arts",16
Materials engineer,Contractor,19
Broadcast journalist,"Surveyor, hydrographic",31
"Merchandiser, retail",Homeopath,27
Estate agent,Nature conservation officer,30
Dietitian,Advertising art director,27
Analytical chemist,Clinical cytogeneticist,16
Sales promotion account executive,Pensions consultant,17
"Administrator, charities/voluntary organisations",Barista,23
Nature conservation officer,Counselling psychologist,31
Production manager,"Conservation officer, nature",20
Research scientist (maths),Maintenance engineer,20
Catering manager,Furniture designer,20
Ceramics designer,Careers adviser,18
Telecommunications researcher,Chartered loss adjuster,26
"Engineer, land",Trade mark attorney,17
"Surveyor, quantity","Designer, textile",15
Radiation protection practitioner,Commercial/residential surveyor,17
Clothing/textile technologist,"Teacher, early years/pre",30
Advice worker,Forensic psychologist,15
Data processing manager,Higher education lecturer,23
Social worker,"Scientist, research (medical)",24
Commercial art gallery manager,Advertising copywriter,26
Health visitor,"Civil engineer, consulting",31
Clothing/textile technologist,"Administrator, education",30
Research scientist (life sciences),Editorial assistant,26
Transport planner,Dance movement psychotherapist,26
Computer games developer,Psychiatric nurse,20
"Nurse, children's","Engineer, materials",29
Travel agency manager,"Presenter, broadcasting",32
Publishing copy,Retail manager,15
"Doctor, hospital","Psychologist, occupational",18
Land/geomatics surveyor,Occupational therapist,24
Exhibition designer,"Merchandiser, retail",17
Database administrator,Games developer,27
Farm manager,"Engineer, aeronautical",25
Translator,Firefighter,23
"Producer, radio",Architect,32
Solicitor,Licensed conveyancer,27
Water engineer,IT sales professional,26
Environmental health practitioner,Training and development officer,19
Environmental health practitioner,Academic librarian,23
Barrister's clerk,Software engineer,16
Passenger transport manager,"Conservation officer, nature",29
Software engineer,Pharmacologist,21
Clinical cytogeneticist,Aid worker,27
Chartered certified accountant,Health and safety inspector,18
Energy engineer,Chartered legal executive (England and Wales),19
IT trainer,Training and development officer,27
Interior and spatial designer,Drilling engineer,24
"Teacher, English as a foreign language","Scientist, research (life sciences)",28
"Programmer, applications",Stage manager,30
"Therapist, nutritional",Fine artist,32
Colour technologist,"Horticulturist, amenity",27
"Copywriter, advertising",International aid/development worker,25
Software engineer,Industrial buyer,19
General practice doctor,"Optician, dispensing",21
Financial manager,Veterinary surgeon,15
"Teacher, special educational needs",Health promotion specialist,28
Hospital pharmacist,"Loss adjuster, chartered",20
Public relations account executive,Contractor,25
Animal technologist,Planning and development surveyor,29
Chief Executive Officer,Forensic scientist,25
Metallurgist,"Runner, broadcasting/film/video",24
Art gallery manager,Comptroller,31
"Psychologist, clinical",Geoscientist,24
"Pilot, airline","Surveyor, rural practice",21
Broadcast engineer,Bookseller,17
Financial risk analyst,"Programmer, applications",29
Chief Executive Officer,Fitness centre manager,25
Social worker,Local government officer,32
Herbalist,"Designer, television/film set",19
Insurance broker,Ambulance person,21
Medical physicist,Geochemist,20
Armed forces technical officer,Magazine features editor,29
Company secretary,Tourist information centre manager,30
Accommodation manager,Veterinary surgeon,21
Neurosurgeon,Orthoptist,32
Publishing copy,"Lecturer, further education",29
Copy,"Teacher, special educational needs",25
Analytical chemist,Mental health nurse,23
Primary school teacher,Bonds trader,28
Fisheries officer,"Chemist, analytical",24
Sports administrator,"Producer, television/film/video",19
"Copywriter, advertising","Scientist, research (maths)",26
Physiotherapist,Optometrist,22
Physiotherapist,Quarry manager,30
Furniture conservator/restorer,Health and safety adviser,16
"Producer, radio","Education officer, museum",16
"Teacher, English as a foreign language",Pathologist,16
Medical illustrator,"Engineer, electronics",22
Network engineer,Licensed conveyancer,16
Clinical biochemist,Tax inspector,18
Trade union research officer,Psychotherapist,19
Drilling engineer,Chiropractor,23
"Teacher, secondary school","Buyer, retail",29
Commissioning editor,"Engineer, biomedical",22
Animator,Patent attorney,19
"Journalist, magazine",Local government officer,26
Advertising account executive,Control and instrumentation engineer,21
Hotel manager,"Editor, commissioning",28
Corporate investment banker,"Designer, furniture",27
Medical physicist,Manufacturing systems engineer,26
Health promotion specialist,Clinical research associate,25
Garment/textile technologist,Politician's assistant,19
Health visitor,"Buyer, retail",15
Visual merchandiser,"Therapist, music",15
Medical illustrator,Translator,22
Ergonomist,Musician,29
Professor Emeritus,"Engineer, technical sales",18
"Scientist, research (medical)","Engineer, chemical",15
Special educational needs teacher,"Geologist, engineering",28
Science writer,Seismic interpreter,22
Newspaper journalist,Patent examiner,18
Education administrator,Psychiatric nurse,16
