Name,Job,Salary
Counsellor,Clothing/textile technologist,17
Fisheries officer,Pharmacologist,23
Tourism officer,Industrial/product designer,25
"Scientist, biomedical",Glass blower/designer,20
"Merchandiser, retail",Oceanographer,17
"Nurse, mental health",Public affairs consultant,16
Charity fundraiser,Meteorologist,24
Electrical engineer,Fine artist,16
"Programmer, applications","Surveyor, hydrographic",15
Ecologist,"Conservation officer, historic buildings",22
Biomedical scientist,Diplomatic Services operational officer,27
Insurance account manager,Risk analyst,29
Publishing rights manager,Recycling officer,20
Regulatory affairs officer,Make,18
Paediatric nurse,"Engineer, electronics",25
Psychiatric nurse,Office manager,32
Systems developer,"Designer, multimedia",18
"Journalist, newspaper",Accommodation manager,24
Electrical engineer,Regulatory affairs officer,23
"Engineer, control and instrumentation",Metallurgist,32
Politician's assistant,Sub,20
"Psychotherapist, dance movement","Therapist, sports",28
Air cabin crew,"Designer, industrial/product",31
Accommodation manager,"Surveyor, planning and development",17
Publishing rights manager,Learning disability nurse,18
Quantity surveyor,"Civil engineer, consulting",27
Health physicist,Actuary,17
"Psychologist, educational",Actuary,32
Nutritional therapist,"Engineer, water",15
Medical sales representative,"Teacher, early years/pre",23
"Copywriter, advertising","Engineer, drilling",19
Microbiologist,Chartered legal executive (England and Wales),32
Medical secretary,Food technologist,31
Advice worker,Travel agency manager,28
Company secretary,Health and safety adviser,19
Control and instrumentation engineer,Youth worker,29
Logistics and distribution manager,"Lecturer, further education",19
Lawyer,"Education officer, museum",27
Industrial buyer,Broadcast presenter,16
Publishing copy,Arboriculturist,22
Learning disability nurse,Health and safety adviser,24
Minerals surveyor,Press photographer,25
Industrial/product designer,Garment/textile technologist,25
Futures trader,Chief of Staff,23
"Nurse, learning disability",Sports administrator,17
Health and safety inspector,"Secretary, company",26
Local government officer,Tax inspector,32
"Social research officer, government","Teacher, adult education",28
Operational investment banker,Physiotherapist,24
Civil Service fast streamer,Amenity horticulturist,31
Economist,Recycling officer,15
Actuary,Dramatherapist,22
Land/geomatics surveyor,Chartered certified accountant,30
Animator,Forensic psychologist,30
Sales promotion account executive,Exercise physiologist,23
Engineering geologist,Pharmacologist,25
IT trainer,Health promotion specialist,30
Personnel officer,"Engineer, civil (consulting)",16
Financial manager,Water engineer,22
Multimedia programmer,Barista,21
"Chemist, analytical","Producer, radio",32
Cartographer,"Scientist, research (life sciences)",28
Artist,"Scientist, water quality",23
Estate agent,Television/film/video producer,26
"Secretary, company","Horticulturist, amenity",31
"Scientist, marine",Medical laboratory scientific officer,24
Musician,"Physicist, medical",30
Occupational hygienist,Visual merchandiser,22
Chartered public finance accountant,Medical illustrator,27
Lobbyist,Database administrator,30
"Nurse, children's","Education officer, environmental",24
"Accountant, chartered public finance",Corporate investment banker,19
"Conservation officer, nature",Pathologist,27
Health physicist,Event organiser,30
"Psychologist, counselling",Research scientist (medical),32
Make,"Accountant, chartered certified",31
"Engineer, broadcasting (operations)","Restaurant manager, fast food",15
Early years teacher,Medical physicist,24
"Teacher, primary school",Trade mark attorney,28
Advertising account planner,"Surveyor, mining",20
"Designer, television/film set",Sport and exercise psychologist,32
Seismic interpreter,Theme park manager,15
Fisheries officer,Clinical research associate,24
Sports coach,"Engineer, aeronautical",27
"Engineer, agricultural","Psychotherapist, dance movement",21
Estate agent,Mechanical engineer,28
Minerals surveyor,"Chemist, analytical",23
"Restaurant manager, fast food",Diplomatic Services operational officer,28
Counsellor,"Scientist, water quality",20
Theatre director,Planning and development surveyor,24
"Scientist, forensic","Engineer, manufacturing",17
Museum/gallery curator,Furniture designer,22
Stage manager,Network engineer,30
Retail banker,Database administrator,28
Secretary/administrator,"Sales professional, IT",19
Land/geomatics surveyor,Metallurgist,15
"Pharmacist, hospital",Counsellor,19
