Name,Job,Salary
Biomedical engineer,Management consultant,31
Artist,Theatre stage manager,15
Oceanographer,"Programmer, systems",17
Meteorologist,"Producer, television/film/video",29
Minerals surveyor,Prison officer,15
Mining engineer,"Designer, exhibition/display",29
Water quality scientist,Aeronautical engineer,27
Cabin crew,"Administrator, Civil Service",18
Sales promotion account executive,Fitness centre manager,26
Location manager,Pension scheme manager,23
"Investment banker, operational",Interior and spatial designer,18
Sales executive,Retail banker,23
Ship broker,Ergonomist,16
Higher education lecturer,"Editor, magazine features",20
Fashion designer,"Horticulturist, amenity",17
Web designer,Biomedical scientist,32
Museum/gallery exhibitions officer,Health visitor,21
Manufacturing engineer,Emergency planning/management officer,17
Early years teacher,Charity fundraiser,17
"Production assistant, television",Bonds trader,16
Product manager,"Development worker, international aid",31
Visual merchandiser,Surgeon,28
Garment/textile technologist,Telecommunications researcher,15
Insurance broker,Company secretary,28
"Engineer, drilling",Chief Technology Officer,19
"Accountant, chartered",Location manager,20
Equities trader,English as a foreign language teacher,20
Music tutor,Architect,18
Interpreter,"Optician, dispensing",15
Make,"Development worker, international aid",15
Chief Technology Officer,Airline pilot,19
Probation officer,Television floor manager,18
Insurance broker,Public relations account executive,23
Dealer,Technical sales engineer,16
Pension scheme manager,Careers adviser,21
Historic buildings inspector/conservation officer,Travel agency manager,21
Product manager,"Engineer, biomedical",21
Bookseller,Estate manager/land agent,31
Forensic scientist,"Psychotherapist, child",22
Surgeon,Contracting civil engineer,25
"Librarian, academic",Games developer,24
General practice doctor,"Scientist, marine",21
Travel agency manager,Commercial/residential surveyor,26
Politician's assistant,Colour technologist,32
Chartered legal executive (England and Wales),"Physicist, medical",20
Commercial art gallery manager,Soil scientist,27
"Geologist, wellsite",Health physicist,27
Furniture designer,"Teacher, adult education",21
Dietitian,Accommodation manager,22
Games developer,Restaurant manager,18
Commercial horticulturist,"Engineer, control and instrumentation",17
Chartered accountant,Surgeon,31
Glass blower/designer,Animal nutritionist,24
Holiday representative,IT trainer,31
Speech and language therapist,"Research officer, trade union",26
Higher education lecturer,Automotive engineer,29
Mudlogger,TEFL teacher,21
Printmaker,Television camera operator,22
"Civil engineer, consulting",Animator,18
Site engineer,IT consultant,15
Tourist information centre manager,Television production assistant,29
Technical author,Special educational needs teacher,19
Event organiser,Production engineer,31
Careers information officer,"Buyer, industrial",26
"Administrator, education",International aid/development worker,18
Environmental education officer,"Psychologist, sport and exercise",27
Chief of Staff,Press photographer,20
"Psychologist, sport and exercise",Water engineer,15
Freight forwarder,Insurance underwriter,15
Chiropodist,"Producer, radio",20
"Social research officer, government",Town planner,15
"Engineer, broadcasting (operations)",Osteopath,17
"Engineer, mining",Sports development officer,18
Industrial/product designer,Clinical research associate,15
Nutritional therapist,Secondary school teacher,31
Clinical biochemist,Public relations officer,16
Colour technologist,Sports coach,17
Armed forces training and education officer,Marine scientist,21
Proofreader,Water quality scientist,31
Theatre manager,"Psychologist, occupational",16
Chief Executive Officer,Plant breeder/geneticist,15
Gaffer,"Conservator, furniture",28
Chemical engineer,"Engineer, manufacturing systems",27
Fashion designer,Medical illustrator,22
"Education officer, community","Production designer, theatre/television/film",24
Environmental education officer,Civil Service fast streamer,20
"Civil engineer, contracting",Administrator,16
"Pharmacist, hospital","Loss adjuster, chartered",32
Exercise physiologist,Research scientist (medical),28
"Producer, radio",Actuary,20
Tax adviser,"Designer, exhibition/display",27
"Administrator, education","Surveyor, building",19
Control and instrumentation engineer,Sports administrator,18
Cartographer,Arts development officer,27
Newspaper journalist,English as a second language teacher,26
"Exhibitions officer, museum/gallery",Minerals surveyor,17
"Pharmacist, community",Charity fundraiser,23
"Psychologist, sport and exercise","Accountant, chartered management",20
Drilling engineer,Nature conservation officer,24
Estate manager/land agent,Illustrator,24
Printmaker,Podiatrist,32
"Surveyor, minerals",Lexicographer,27
Estate agent,Music therapist,27
"Engineer, manufacturing systems",Toxicologist,25
"Journalist, broadcasting","Therapist, speech and language",29
"Designer, textile","Surveyor, hydrographic",15
Personal assistant,Diplomatic Services operational officer,31
Chief of Staff,Secondary school teacher,21
Fitness centre manager,"Engineer, automotive",28
"Engineer, manufacturing",Comptroller,16
"Librarian, academic","Production assistant, television",26
Gaffer,Catering manager,17
Medical sales representative,Television/film/video producer,26
"Scientist, biomedical",International aid/development worker,16
Production engineer,Barrister,32
Sub,Sports therapist,16
Retail banker,IT trainer,17
Call centre manager,Advertising art director,15
Gaffer,Newspaper journalist,24
"Journalist, broadcasting","Loss adjuster, chartered",18
Furniture designer,"Copywriter, advertising",17
"Lighting technician, broadcasting/film/video",Aid worker,25
Geochemist,Immunologist,22
"Accountant, chartered certified",Film/video editor,21
Chemical engineer,Publishing rights manager,16
Charity officer,Clinical molecular geneticist,23
Company secretary,Immigration officer,18
"Designer, textile",Armed forces training and education officer,27
"Teacher, English as a foreign language",Historic buildings inspector/conservation officer,25
"Therapist, speech and language",Health physicist,24
Music tutor,"Loss adjuster, chartered",23
"Surveyor, insurance","Radiographer, diagnostic",24
"Engineer, technical sales",Amenity horticulturist,16
Publishing copy,Aid worker,21
Clinical cytogeneticist,Public affairs consultant,32
Immigration officer,"Conservator, furniture",15
Industrial/product designer,Primary school teacher,32
Product/process development scientist,Automotive engineer,29
Bookseller,Minerals surveyor,23
Clothing/textile technologist,"Buyer, retail",28
Private music teacher,"Chemist, analytical",20
Holiday representative,"Conservator, museum/gallery",18
"Engineer, water",Soil scientist,19
Sub,Adult nurse,18
Financial controller,Operations geologist,17
Computer games developer,Air traffic controller,32
Public librarian,Chiropodist,25
"Surveyor, planning and development",Telecommunications researcher,16
Geophysicist/field seismologist,"Exhibitions officer, museum/gallery",26
Press photographer,"Surveyor, commercial/residential",23
Chief Executive Officer,Physiotherapist,18
Planning and development surveyor,Mechanical engineer,24
"Lighting technician, broadcasting/film/video","Geneticist, molecular",21
"Librarian, academic",Broadcast presenter,18
Applications developer,Speech and language therapist,16
Museum/gallery conservator,Secondary school teacher,17
Gaffer,"Librarian, public",24
Manufacturing systems engineer,Chief Strategy Officer,22
"Scientist, water quality","Editor, magazine features",17
Farm manager,Chartered public finance accountant,32
Media buyer,Database administrator,17
Energy manager,"Surveyor, land/geomatics",24
Dietitian,"Designer, textile",15
Historic buildings inspector/conservation officer,Hydrologist,18
Armed forces operational officer,Social researcher,20
Electronics engineer,Colour technologist,19
Financial risk analyst,Sales promotion account executive,23
"Administrator, arts","Psychologist, prison and probation services",17
Social worker,Printmaker,27
"Teacher, music",Retail buyer,21
"Teacher, English as a foreign language",Psychiatrist,30
"Geologist, engineering",Associate Professor,25
Maintenance engineer,Artist,28
"Production assistant, radio","Designer, industrial/product",24
"Geneticist, molecular","Engineer, manufacturing systems",30
Trade union research officer,Furniture conservator/restorer,18
Arboriculturist,"Geologist, engineering",30
Accounting technician,Outdoor activities/education manager,22
Scientific laboratory technician,Armed forces technical officer,19
Records manager,Product manager,16
Local government officer,Social researcher,20
Financial controller,"Designer, interior/spatial",15
"Psychologist, sport and exercise",Armed forces technical officer,17
Estate agent,Chief of Staff,25
Risk analyst,Chartered legal executive (England and Wales),29
Ceramics designer,"Pharmacist, hospital",30
"Therapist, sports",Learning disability nurse,22
Travel agency manager,Recruitment consultant,28
"Buyer, industrial",Visual merchandiser,19
Building control surveyor,Professor Emeritus,22
Forest/woodland manager,Textile designer,18
"Optician, dispensing","Engineer, mining",26
Investment analyst,Clinical embryologist,17
"Editor, magazine features","Embryologist, clinical",16
Press photographer,"Administrator, arts",31
Chief Marketing Officer,"Therapist, occupational",32
Haematologist,Operational investment banker,15
Nature conservation officer,Ecologist,31
"Surveyor, hydrographic","Programmer, multimedia",15
Operational researcher,Camera operator,17
Proofreader,"Civil engineer, consulting",16
Geographical information systems officer,Industrial/product designer,15
Occupational psychologist,Chief Financial Officer,15
Financial adviser,Senior tax professional/tax inspector,16
Mental health nurse,Education administrator,25
"Accountant, chartered public finance","Engineer, biomedical",15
Building services engineer,Magazine journalist,27
Publishing copy,"Buyer, industrial",30
Art gallery manager,Early years teacher,20
Animator,Retail manager,24
Cabin crew,Conference centre manager,17
Volunteer coordinator,Animator,27
"Pharmacist, hospital",Phytotherapist,28
Toxicologist,Quantity surveyor,30
Music therapist,Production engineer,21
"Programme researcher, broadcasting/film/video",Market researcher,29
Control and instrumentation engineer,"Scientist, clinical (histocompatibility and immunogenetics)",30
"Administrator, charities/voluntary organisations","Development worker, international aid",26
Site engineer,"Teacher, secondary school",17
Occupational therapist,Clinical molecular geneticist,29
Diplomatic Services operational officer,Contractor,27
Copy,Chartered certified accountant,16
Ecologist,Primary school teacher,26
"Editor, magazine features",Commercial art gallery manager,16
"Programme researcher, broadcasting/film/video",Pensions consultant,21
"Civil engineer, consulting",Research scientist (life sciences),24
Best boy,Water quality scientist,29
Television production assistant,Fashion designer,31
Media planner,Dance movement psychotherapist,23
Barrister,Exhibition designer,17
Theatre stage manager,Town planner,21
"Embryologist, clinical",Environmental consultant,22
Hydrogeologist,Interior and spatial designer,25
"Designer, exhibition/display","Scientist, audiological",23
Materials engineer,Professor Emeritus,30
Estate manager/land agent,Games developer,16
"Surveyor, quantity",Press photographer,27
"Engineer, technical sales",Video editor,27
Commissioning editor,Banker,21
"Pharmacist, hospital","Therapist, occupational",30
Medical technical officer,"Therapist, speech and language",29
Amenity horticulturist,Retail manager,20
Associate Professor,Building control surveyor,30
"Librarian, academic",Agricultural consultant,20
"Surveyor, rural practice",Midwife,22
"Production assistant, radio","Designer, graphic",18
Community education officer,"Psychologist, occupational",28
Building control surveyor,"Therapist, drama",32
"Conservator, furniture","Producer, radio",22
Industrial buyer,Logistics and distribution manager,32
Actor,Herpetologist,31
Dealer,"Scientist, water quality",19
Clothing/textile technologist,Cartographer,30
Tourist information centre manager,Gaffer,32
Microbiologist,"Scientist, biomedical",26
Chief of Staff,"Social research officer, government",18
Broadcast presenter,"Engineer, broadcasting (operations)",18
Location manager,"Loss adjuster, chartered",26
Retail manager,"Scientist, product/process development",29
Theatre director,Community arts worker,16
Water quality scientist,Pharmacologist,19
Community development worker,Intelligence analyst,21
Best boy,"Accountant, chartered",25
Air traffic controller,Copy,31
"Scientist, audiological",Financial manager,28
Civil Service administrator,Recycling officer,29
Environmental consultant,Forensic scientist,18
Outdoor activities/education manager,Artist,16
Musician,"Therapist, nutritional",16
Phytotherapist,"Development worker, community",15
Fast food restaurant manager,Photographer,20
Games developer,Maintenance engineer,18
Charity fundraiser,Theatre stage manager,24
Publishing rights manager,"Administrator, arts",22
Broadcast presenter,Translator,30
Leisure centre manager,"Engineer, broadcasting (operations)",30
"Teacher, music","Biochemist, clinical",21
Health and safety inspector,Solicitor,26
"Pharmacist, hospital","Administrator, education",22
Police officer,Textile designer,30
Hydrogeologist,Games developer,30
Production engineer,Nutritional therapist,32
Dietitian,Training and development officer,19
Outdoor activities/education manager,"Runner, broadcasting/film/video",29
Drilling engineer,"Engineer, electrical",16
Financial manager,Educational psychologist,15
"Designer, television/film set",Telecommunications researcher,32
Research scientist (maths),Legal executive,16
Insurance underwriter,Warehouse manager,17
Theatre manager,Control and instrumentation engineer,27
"Investment banker, operational",Logistics and distribution manager,32
Merchant navy officer,Magazine journalist,27
Location manager,Tour manager,18
English as a foreign language teacher,Armed forces technical officer,32
Stage manager,Amenity horticulturist,18
Contracting civil engineer,Commercial art gallery manager,31
Research scientist (life sciences),TEFL teacher,15
Food technologist,"Editor, magazine features",17
Product/process development scientist,"Designer, exhibition/display",22
Radio broadcast assistant,Public librarian,32
"Runner, broadcasting/film/video",Video editor,16
"Civil engineer, consulting","Psychologist, prison and probation services",29
Advice worker,Tourist information centre manager,21
Community pharmacist,Trade union research officer,22
Air broker,"Engineer, electrical",16
Chartered legal executive (England and Wales),"Journalist, newspaper",31
Barrister,"Engineer, chemical",24
Armed forces training and education officer,Camera operator,19
"Optician, dispensing",Fish farm manager,23
"Psychologist, prison and probation services",Ambulance person,15
Product manager,Visual merchandiser,21
"Administrator, local government",Commercial horticulturist,22
Orthoptist,English as a foreign language teacher,25
Office manager,"Pharmacist, community",17
"Nurse, children's",Electrical engineer,16
Speech and language therapist,Games developer,31
"Designer, exhibition/display","Scientist, audiological",18
"Doctor, hospital",Engineering geologist,18
Ranger/warden,Automotive engineer,16
Contractor,Senior tax professional/tax inspector,26
Writer,Further education lecturer,22
"Scientist, forensic","Production assistant, television",29
Occupational psychologist,Maintenance engineer,27
Associate Professor,Air broker,24
Statistician,Comptroller,16
Estate manager/land agent,"Restaurant manager, fast food",30
"Accountant, chartered","Pharmacist, hospital",17
Bookseller,"Chemist, analytical",29
Learning mentor,Technical brewer,21
Market researcher,"Therapist, drama",19
"Psychotherapist, child",Hydrogeologist,16
Contractor,Museum/gallery exhibitions officer,26
Animal nutritionist,Operational investment banker,17
Equities trader,Agricultural engineer,28
"Psychologist, sport and exercise",Psychiatrist,29
Colour technologist,Ranger/warden,19
"Geologist, engineering","Designer, blown glass/stained glass",29
Magazine features editor,Geographical information systems officer,16
Trade union research officer,Scientific laboratory technician,27
"Social research officer, government",Energy manager,16
"Nurse, learning disability",Bonds trader,24
"Producer, radio","Engineer, agricultural",28
Neurosurgeon,Haematologist,26
"Psychotherapist, dance movement","Engineer, mining",24
"Copywriter, advertising",Art gallery manager,18
Food technologist,Music tutor,28
Secondary school teacher,Sports development officer,18
Quality manager,"Runner, broadcasting/film/video",32
Higher education lecturer,Cytogeneticist,21
Artist,Probation officer,24
"Engineer, civil (consulting)",Clothing/textile technologist,30
Financial manager,Advice worker,25
Metallurgist,Company secretary,29
Special effects artist,Actuary,26
"Conservator, museum/gallery",Contracting civil engineer,18
Theatre stage manager,Local government officer,21
"Scientist, product/process development","Engineer, drilling",15
"Scientist, research (physical sciences)",Amenity horticulturist,26
Animal technologist,Electronics engineer,16
Electronics engineer,Newspaper journalist,28
Art gallery manager,"Designer, ceramics/pottery",24
Copy,Mental health nurse,16
"Engineer, building services",Records manager,24
Financial manager,Sales promotion account executive,18
Theatre manager,Games developer,18
"Psychologist, educational","Accountant, chartered management",24
"Administrator, arts",Recruitment consultant,30
Wellsite geologist,Forensic scientist,25
Recruitment consultant,Hydrographic surveyor,25
Cabin crew,Sub,15
Art gallery manager,Ecologist,29
Lawyer,Cabin crew,28
Regulatory affairs officer,Multimedia programmer,22
Airline pilot,Patent examiner,15
"Accountant, chartered management",Film/video editor,24
Food technologist,Physiotherapist,28
Public relations account executive,Meteorologist,19
Product manager,Architectural technologist,27
"Designer, fashion/clothing",Research scientist (maths),15
"Engineer, energy",Social researcher,28
"Engineer, structural",Insurance broker,31
Agricultural engineer,Arts development officer,22
Musician,"Administrator, local government",22
Probation officer,Insurance risk surveyor,17
Theatre stage manager,Dancer,19
Optometrist,Copy,20
Herpetologist,"Administrator, charities/voluntary organisations",20
Tax inspector,"Designer, textile",15
Music therapist,Recycling officer,15
Animator,Health and safety inspector,22
Architect,Orthoptist,23
Patent attorney,Chief Operating Officer,23
Database administrator,Dancer,16
"Therapist, art",Garment/textile technologist,24
"Teacher, English as a foreign language",Technical sales engineer,29
"Optician, dispensing",Best boy,17
Chief Technology Officer,"Buyer, retail",20
Soil scientist,"Teacher, primary school",27
"Embryologist, clinical",Management consultant,31
"Therapist, music",Hospital doctor,17
Animator,Rural practice surveyor,16
"Doctor, hospital",Curator,32
Fitness centre manager,Chief Executive Officer,22
Call centre manager,Retail manager,18
"Production designer, theatre/television/film",Fitness centre manager,22
"Surveyor, land/geomatics","Lecturer, higher education",31
Lawyer,Futures trader,16
"Social research officer, government","Solicitor, Scotland",23
Chartered legal executive (England and Wales),Fast food restaurant manager,29
"Horticulturist, commercial",Magazine features editor,28
Further education lecturer,Product/process development scientist,28
Illustrator,Software engineer,26
Event organiser,Merchant navy officer,17
"Engineer, agricultural",Lexicographer,30
Translator,Public house manager,25
Civil Service administrator,"Conservation officer, nature",21
Interpreter,"Programme researcher, broadcasting/film/video",22
"Engineer, production",Product/process development scientist,31
Local government officer,IT consultant,19
Land/geomatics surveyor,Quantity surveyor,16
Operational investment banker,Insurance broker,15
"Administrator, sports","Pilot, airline",32
Solicitor,"Programmer, systems",21
"Pharmacist, hospital","Therapist, art",21
"Engineer, technical sales",Tourist information centre manager,29
"Surveyor, hydrographic",Archivist,23
Product designer,Hotel manager,18
"Journalist, broadcasting",Medical physicist,27
Sub,Applications developer,31
Prison officer,"Research officer, government",16
Osteopath,Pathologist,17
Contracting civil engineer,"Secretary, company",31
Barrister,Engineering geologist,27
Operational investment banker,Armed forces technical officer,15
Interior and spatial designer,Insurance risk surveyor,25
Land,Horticultural consultant,24
Animal technologist,Tree surgeon,15
Environmental education officer,Communications engineer,29
Chief Financial Officer,"Engineer, electronics",22
Copy,"Psychologist, educational",29
"Therapist, horticultural",Travel agency manager,16
English as a second language teacher,"Restaurant manager, fast food",29
Multimedia programmer,Sales executive,22
Furniture designer,"Scientist, research (medical)",15
"Producer, radio",Financial trader,28
Scientific laboratory technician,Mining engineer,32
Records manager,Research scientist (medical),19
Armed forces logistics/support/administrative officer,Civil Service fast streamer,22
"Accountant, chartered",Best boy,29
Environmental consultant,Logistics and distribution manager,22
Transport planner,Community education officer,16
Firefighter,Community pharmacist,28
Retail merchandiser,Financial adviser,29
Chartered legal executive (England and Wales),"Therapist, drama",22
Rural practice surveyor,Educational psychologist,26
Haematologist,"Engineer, manufacturing systems",31
Art therapist,"Therapist, art",24
"Civil engineer, contracting",Architect,25
Fast food restaurant manager,Associate Professor,29
Child psychotherapist,Arts administrator,29
Research scientist (physical sciences),Radiation protection practitioner,17
Wellsite geologist,Equality and diversity officer,31
Public affairs consultant,Speech and language therapist,20
Commercial horticulturist,"Nurse, learning disability",29
Conference centre manager,"Therapist, sports",31
Audiological scientist,Forensic scientist,21
IT technical support officer,Radiation protection practitioner,26
"Teacher, special educational needs","Accountant, chartered certified",28
Ophthalmologist,Sports administrator,27
Accommodation manager,Nature conservation officer,26
"Nurse, learning disability","Editor, film/video",21
"Psychologist, forensic",Consulting civil engineer,25
Forest/woodland manager,Investment analyst,21
Chief of Staff,Medical illustrator,28
Magazine features editor,Adult guidance worker,32
Press sub,Chiropodist,21
Chief Operating Officer,IT technical support officer,24
"Engineer, electrical",Insurance risk surveyor,20
Field seismologist,"Psychologist, educational",16
Sport and exercise psychologist,Stage manager,29
Comptroller,Legal secretary,24
Volunteer coordinator,Hydrologist,15
Fine artist,Estate manager/land agent,31
"Engineer, chemical",Garment/textile technologist,19
Sport and exercise psychologist,Chartered legal executive (England and Wales),23
Clinical biochemist,"Therapist, speech and language",20
Biomedical scientist,"Production designer, theatre/television/film",30
Fast food restaurant manager,Occupational therapist,26
Astronomer,Risk manager,22
Dealer,Recruitment consultant,15
Television/film/video producer,"Doctor, hospital",26
Accounting technician,Psychotherapist,26
"Accountant, chartered","Designer, textile",24
English as a foreign language teacher,Advertising account executive,32
Television production assistant,Multimedia specialist,17
Dancer,"Accountant, chartered management",26
Records manager,Call centre manager,27
Dealer,"Research officer, political party",20
"Editor, film/video",Dramatherapist,17
"Engineer, land",Further education lecturer,20
"Librarian, academic","Radiographer, diagnostic",32
"Scientist, research (medical)",Retail manager,31
Recruitment consultant,Race relations officer,25
Architectural technologist,Rural practice surveyor,16
"Teacher, secondary school",Insurance account manager,27
"Radiographer, diagnostic",Charity fundraiser,28
Tourist information centre manager,Race relations officer,28
Tourism officer,Administrator,27
Race relations officer,"Journalist, broadcasting",29
"Engineer, production",Production manager,25
Academic librarian,Farm manager,20
Archaeologist,Training and development officer,29
"Administrator, Civil Service",Clinical embryologist,28
Quantity surveyor,"Administrator, sports",16
Immunologist,Multimedia specialist,21
Cartographer,Actor,32
Museum/gallery curator,"Scientist, audiological",24
Chief Financial Officer,"Pilot, airline",18
Bookseller,"Engineer, technical sales",25
Air broker,Technical brewer,19
Advertising copywriter,"Psychologist, forensic",21
"Designer, graphic",Comptroller,27
Press photographer,Pathologist,24
Restaurant manager,Data scientist,27
Radio producer,"Engineer, aeronautical",19
"Psychologist, counselling",Herbalist,29
"Engineer, building services","Scientist, water quality",19
Armed forces training and education officer,Art therapist,21
Manufacturing engineer,Environmental education officer,21
"Clinical scientist, histocompatibility and immunogenetics",Museum/gallery conservator,22
Tax adviser,Public house manager,29
Phytotherapist,Insurance broker,26
Medical illustrator,Immigration officer,15
"Engineer, materials",Orthoptist,26
Facilities manager,Restaurant manager,30
"Psychologist, sport and exercise","Engineer, drilling",31
Furniture designer,Air broker,17
"Psychologist, counselling",Professor Emeritus,30
Ship broker,Data processing manager,26
Academic librarian,Logistics and distribution manager,20
"Administrator, local government",Sports therapist,22
Freight forwarder,"Designer, interior/spatial",23
Barrister's clerk,Records manager,26
Social worker,Pensions consultant,26
"Conservator, furniture",Retail banker,29
Prison officer,Editorial assistant,28
Administrator,"Doctor, general practice",31
"Engineer, civil (contracting)",Medical laboratory scientific officer,22
"Accountant, chartered public finance",Occupational psychologist,26
Building control surveyor,Advertising account planner,26
"Scientist, research (life sciences)","Therapist, horticultural",29
"Sales professional, IT",Osteopath,16
Commercial/residential surveyor,General practice doctor,24
"Engineer, civil (consulting)",Marketing executive,25
IT technical support officer,Engineering geologist,21
Production engineer,Minerals surveyor,28
Higher education careers adviser,Rural practice surveyor,29
Aid worker,Technical author,19
"Pharmacist, community",Chief Strategy Officer,31
Research scientist (life sciences),"Accountant, chartered",17
Land/geomatics surveyor,Chartered certified accountant,30
Estate agent,Pension scheme manager,22
Police officer,Licensed conveyancer,20
Site engineer,Seismic interpreter,18
Chartered accountant,Museum/gallery exhibitions officer,15
Curator,Quality manager,31
"Secretary, company",Herbalist,15
"Surveyor, planning and development",Community education officer,22
"Investment banker, operational",Drilling engineer,17
Brewing technologist,"Designer, fashion/clothing",29
Quantity surveyor,Nature conservation officer,20
Barista,Holiday representative,17
Dramatherapist,"Surveyor, hydrographic",19
"Geologist, wellsite",TEFL teacher,15
Economist,Broadcast engineer,31
"Horticulturist, commercial",Armed forces logistics/support/administrative officer,20
Toxicologist,Architectural technologist,26
Industrial buyer,Ergonomist,23
"Scientist, product/process development",Architectural technologist,24
"Clinical scientist, histocompatibility and immunogenetics",Musician,30
Control and instrumentation engineer,Hydrographic surveyor,27
"Runner, broadcasting/film/video","Engineer, communications",22
Water engineer,"Civil engineer, consulting",19
"Buyer, retail",Medical physicist,18
Interior and spatial designer,Museum/gallery exhibitions officer,21
