Name,Job,Salary
"Engineer, manufacturing",Public house manager,28
Public house manager,Control and instrumentation engineer,26
"Solicitor, Scotland",Armed forces logistics/support/administrative officer,32
"Psychologist, sport and exercise",Primary school teacher,28
Art gallery manager,"Psychologist, educational",31
"Restaurant manager, fast food","Engineer, communications",21
"Solicitor, Scotland",Retail buyer,31
"Runner, broadcasting/film/video",Manufacturing systems engineer,22
Advertising art director,"Programmer, systems",24
"Scientist, water quality",Advice worker,20
Herbalist,Personal assistant,25
"Copywriter, advertising",Freight forwarder,26
"Engineer, energy",Multimedia specialist,22
"Psychotherapist, dance movement",Sport and exercise psychologist,29
Archaeologist,Research scientist (medical),29
Marine scientist,"Librarian, public",29
Architectural technologist,Health and safety adviser,17
Technical author,Radio producer,23
Hydrogeologist,Land/geomatics surveyor,23
"Teacher, early years/pre",Press sub,32
Financial adviser,Actuary,19
Microbiologist,Museum/gallery exhibitions officer,19
"Editor, commissioning",Bookseller,21
Jewellery designer,Higher education careers adviser,26
Copy,Commissioning editor,18
Herpetologist,"Engineer, structural",15
Nutritional therapist,Trade union research officer,18
Film/video editor,Metallurgist,19
Office manager,Counselling psychologist,21
Arts administrator,"Journalist, newspaper",20
Barista,Arts development officer,24
Dealer,Financial manager,27
Health and safety inspector,Probation officer,28
Proofreader,Research scientist (life sciences),21
"Engineer, civil (consulting)",Musician,20
"Engineer, energy","Programmer, applications",25
"Radiographer, therapeutic",IT sales professional,31
"Administrator, local government",Medical physicist,31
Sub,Community development worker,30
"Journalist, broadcasting","Physicist, medical",30
Stage manager,"Engineer, biomedical",21
Recruitment consultant,Chiropractor,27
"Development worker, international aid","Psychotherapist, child",27
Analytical chemist,Immunologist,16
Film/video editor,Stage manager,30
Secretary/administrator,Psychiatrist,16
"Research officer, trade union",Arts development officer,22
"Engineer, energy",Heritage manager,15
Advice worker,Freight forwarder,26
"Radiographer, diagnostic",Barrister's clerk,32
"Journalist, newspaper",Building services engineer,32
Banker,Film/video editor,18
Chartered management accountant,Bonds trader,30
"Teacher, English as a foreign language","Therapist, speech and language",22
Marketing executive,Facilities manager,23
"Programmer, multimedia",Theatre manager,20
Financial adviser,Museum/gallery curator,22
Gaffer,Animal nutritionist,23
Insurance broker,"Teacher, special educational needs",17
Patent examiner,Forest/woodland manager,17
Volunteer coordinator,Marketing executive,22
Planning and development surveyor,"Restaurant manager, fast food",29
Sports administrator,Planning and development surveyor,22
Product manager,Hydrologist,31
"Surveyor, quantity",Publishing copy,23
"Engineer, control and instrumentation",Retail merchandiser,19
Nature conservation officer,"Surveyor, land/geomatics",24
"Engineer, drilling","Scientist, audiological",18
Medical technical officer,Accounting technician,17
Manufacturing engineer,Furniture designer,29
Careers adviser,Fashion designer,29
"Psychologist, clinical",Regulatory affairs officer,32
Print production planner,"Engineer, civil (contracting)",21
Retail banker,Science writer,21
Production manager,Technical sales engineer,28
Environmental health practitioner,"Therapist, drama",26
Restaurant manager,Charity fundraiser,22
"Chemist, analytical","Buyer, retail",21
Nature conservation officer,Financial trader,31
Trade mark attorney,Careers information officer,29
"Research officer, political party",Horticultural consultant,19
"Lecturer, higher education","Administrator, arts",26
Tax adviser,"Therapist, nutritional",15
Risk manager,Transport planner,25
"Scientist, biomedical",Stage manager,23
Petroleum engineer,Data processing manager,19
Tax inspector,Structural engineer,30
"Lecturer, further education",Training and development officer,26
Ship broker,"Engineer, civil (consulting)",25
"Designer, exhibition/display",Armed forces operational officer,15
Community development worker,"Surveyor, hydrographic",26
Risk manager,Telecommunications researcher,23
"Pilot, airline",Armed forces logistics/support/administrative officer,28
Chief Executive Officer,Research scientist (physical sciences),16
"Administrator, Civil Service","Producer, radio",27
"Solicitor, Scotland",Heritage manager,21
"Administrator, sports",Holiday representative,22
"Designer, interior/spatial","Production assistant, television",19
Landscape architect,Risk manager,22
Bookseller,Environmental health practitioner,24
Aeronautical engineer,Passenger transport manager,23
Architect,Glass blower/designer,29
Farm manager,Broadcast engineer,31
Photographer,Water quality scientist,15
Counselling psychologist,Public house manager,18
Production engineer,"Nurse, children's",32
Company secretary,Theme park manager,15
Optometrist,"Engineer, energy",30
Ergonomist,Diagnostic radiographer,19
Probation officer,"Physicist, medical",16
Artist,Medical laboratory scientific officer,21
Farm manager,English as a second language teacher,26
Water quality scientist,Volunteer coordinator,28
Site engineer,Financial risk analyst,24
"Clinical scientist, histocompatibility and immunogenetics",Customer service manager,25
"Accountant, chartered certified",Freight forwarder,28
Visual merchandiser,Personnel officer,17
Food technologist,Wellsite geologist,21
Maintenance engineer,Marketing executive,32
"Embryologist, clinical",Artist,24
"Engineer, maintenance (IT)",Armed forces logistics/support/administrative officer,27
Analytical chemist,Civil Service fast streamer,31
Horticultural therapist,Amenity horticulturist,18
Health service manager,Medical laboratory scientific officer,30
Software engineer,Sports therapist,29
"Teacher, early years/pre",Intelligence analyst,26
"Engineer, civil (consulting)","Teacher, adult education",32
Hospital pharmacist,Regulatory affairs officer,23
"Journalist, broadcasting",Chief Financial Officer,31
Jewellery designer,"Scientist, research (maths)",29
Barrister,Medical secretary,15
Geographical information systems officer,"Conservator, furniture",30
Nutritional therapist,Industrial/product designer,18
Chartered accountant,Chief Operating Officer,25
Estate agent,Fashion designer,22
"Engineer, electronics",Financial trader,17
Jewellery designer,Sports coach,21
Legal executive,Actuary,25
Data scientist,"Engineer, production",21
Occupational therapist,"Buyer, industrial",19
"Psychologist, clinical","Administrator, education",19
Communications engineer,Statistician,29
Magazine journalist,Museum/gallery conservator,21
Printmaker,Chief Strategy Officer,28
Horticultural consultant,Clinical psychologist,16
Wellsite geologist,Gaffer,21
"Civil engineer, consulting",Investment analyst,25
Translator,"Teacher, special educational needs",18
Tourism officer,Amenity horticulturist,28
Radiation protection practitioner,Hydrologist,17
"Solicitor, Scotland","Designer, interior/spatial",27
Immigration officer,"Civil engineer, consulting",19
Podiatrist,Theatre stage manager,20
Higher education careers adviser,Broadcast engineer,25
Water quality scientist,Hospital pharmacist,20
Event organiser,Insurance risk surveyor,22
"Development worker, community",Commissioning editor,32
"Engineer, materials",Chiropractor,22
"Merchandiser, retail",Sub,29
Homeopath,Musician,18
Clinical research associate,Logistics and distribution manager,18
Naval architect,Textile designer,17
"Administrator, charities/voluntary organisations","Engineer, broadcasting (operations)",18
"Designer, jewellery",Health service manager,31
Advertising art director,Trading standards officer,19
Museum education officer,Customer service manager,15
Government social research officer,Product designer,19
Patent examiner,Production manager,32
"Engineer, civil (contracting)","Surveyor, hydrographic",17
"Scientist, physiological",Newspaper journalist,16
Clinical research associate,"Engineer, agricultural",30
Interpreter,"Engineer, communications",19
Investment analyst,Neurosurgeon,29
Barrister's clerk,Best boy,32
Best boy,Oceanographer,26
"Embryologist, clinical",Health promotion specialist,18
Company secretary,Archivist,21
Brewing technologist,Jewellery designer,16
"Surveyor, planning and development",Dance movement psychotherapist,17
"Runner, broadcasting/film/video",Hospital doctor,27
Radiation protection practitioner,Occupational psychologist,32
Manufacturing engineer,"Conservation officer, nature",16
"Engineer, energy",Database administrator,17
Town planner,Multimedia specialist,31
"Surveyor, building control",Architectural technologist,24
Horticultural consultant,Senior tax professional/tax inspector,24
Armed forces technical officer,Field seismologist,20
"Therapist, drama",Restaurant manager,28
"Scientist, clinical (histocompatibility and immunogenetics)",Radio producer,24
Information systems manager,Forest/woodland manager,26
English as a foreign language teacher,Customer service manager,15
Historic buildings inspector/conservation officer,Animal nutritionist,18
Learning disability nurse,Civil Service fast streamer,32
"Therapist, music","Engineer, site",24
"Education officer, community",Further education lecturer,20
"Pharmacist, community",Banker,21
Licensed conveyancer,Secondary school teacher,25
"Development worker, international aid",Fine artist,27
"Scientist, marine",Geographical information systems officer,17
"Accountant, chartered management",Pension scheme manager,21
"Restaurant manager, fast food",Immunologist,15
Call centre manager,Fashion designer,29
Museum/gallery curator,Immunologist,19
Chief of Staff,Biomedical scientist,20
"Therapist, sports","Engineer, land",15
Personnel officer,Travel agency manager,31
Production manager,"Investment banker, operational",20
Counsellor,Public house manager,15
"Engineer, structural",Food technologist,19
"Editor, magazine features",Mechanical engineer,19
Financial controller,Broadcast journalist,28
Ophthalmologist,Publishing copy,23
Fitness centre manager,Insurance broker,24
"Therapist, occupational","Designer, furniture",23
General practice doctor,"Designer, blown glass/stained glass",27
Housing manager/officer,Acupuncturist,15
"Surveyor, insurance",Clinical embryologist,30
"Surveyor, commercial/residential","Engineer, manufacturing",15
Armed forces operational officer,"Engineer, electronics",25
Forensic psychologist,Personal assistant,32
Optometrist,Professor Emeritus,24
Music therapist,Sales executive,24
Commercial horticulturist,Building services engineer,23
Communications engineer,Early years teacher,24
"Engineer, control and instrumentation",Academic librarian,31
Geographical information systems officer,Operations geologist,20
Diplomatic Services operational officer,Graphic designer,32
"Nurse, adult",Water quality scientist,24
"Sound technician, broadcasting/film/video",Fast food restaurant manager,21
"Radiographer, therapeutic",Learning disability nurse,19
Site engineer,Television floor manager,18
"Engineer, maintenance","Optician, dispensing",16
"Conservation officer, historic buildings",Optometrist,32
Special educational needs teacher,Management consultant,29
Claims inspector/assessor,Best boy,26
Health visitor,Environmental manager,24
Broadcast journalist,Ecologist,23
Tax inspector,Legal secretary,16
Systems developer,"Programmer, systems",23
Fashion designer,Recycling officer,22
Advertising account executive,"Scientist, marine",20
"Biochemist, clinical",Human resources officer,25
Medical laboratory scientific officer,Radiation protection practitioner,15
"Scientist, marine",Economist,22
Counselling psychologist,"Engineer, broadcasting (operations)",25
"Producer, television/film/video",Nature conservation officer,19
Furniture designer,"Radiographer, therapeutic",15
"Programmer, applications",Seismic interpreter,19
Medical secretary,Ambulance person,29
"Scientist, audiological",Holiday representative,19
Chartered accountant,"Surveyor, hydrographic",18
Network engineer,Health and safety inspector,30
Volunteer coordinator,"Education officer, museum",21
Environmental health practitioner,"Production assistant, radio",22
"Teacher, primary school",Ergonomist,31
Homeopath,Warehouse manager,24
Merchant navy officer,"Therapist, occupational",22
Private music teacher,Production engineer,16
"Designer, jewellery",Police officer,29
Systems developer,Chief Strategy Officer,19
Research scientist (physical sciences),Retail manager,18
Press photographer,Publishing copy,25
"Engineer, automotive",Ecologist,28
Civil Service fast streamer,"Nurse, learning disability",22
Charity officer,"Psychologist, forensic",27
Podiatrist,"Designer, multimedia",24
Ceramics designer,"Programmer, systems",24
Retail buyer,Chief of Staff,16
Video editor,Electrical engineer,29
Museum/gallery curator,"Designer, jewellery",23
Theatre stage manager,Textile designer,21
"Therapist, music",Quantity surveyor,30
"Surveyor, minerals",Careers adviser,23
General practice doctor,Health visitor,28
"Programme researcher, broadcasting/film/video","Psychologist, sport and exercise",31
Associate Professor,Insurance account manager,22
"Scientist, forensic",Primary school teacher,29
"Surveyor, land/geomatics",Contractor,31
Graphic designer,"Administrator, education",15
Printmaker,"Designer, fashion/clothing",15
"Psychologist, clinical",Dance movement psychotherapist,28
Volunteer coordinator,IT technical support officer,27
Biomedical engineer,Control and instrumentation engineer,17
"Engineer, chemical","Engineer, broadcasting (operations)",24
Teaching laboratory technician,Translator,21
"Therapist, horticultural",Economist,20
Press photographer,Air traffic controller,23
Accommodation manager,Mental health nurse,24
Exercise physiologist,Legal secretary,22
International aid/development worker,Arts administrator,25
Music tutor,Newspaper journalist,31
Dentist,Acupuncturist,30
"Accountant, chartered certified",Clinical cytogeneticist,31
"Engineer, materials",Forensic scientist,15
Broadcast presenter,Agricultural consultant,21
Land,Financial risk analyst,22
"Engineer, manufacturing",Chief of Staff,27
Youth worker,Haematologist,22
Advertising art director,Chartered legal executive (England and Wales),27
"Scientist, clinical (histocompatibility and immunogenetics)","Therapist, art",21
Arts development officer,IT trainer,26
Tourist information centre manager,Advertising account planner,22
Counsellor,"Surveyor, planning and development",24
Fast food restaurant manager,Computer games developer,16
Recruitment consultant,Stage manager,20
"Surveyor, building control",Illustrator,21
Logistics and distribution manager,Financial adviser,22
Photographer,Tour manager,25
Marketing executive,Adult nurse,31
Quality manager,"Chemist, analytical",32
Investment analyst,Legal executive,20
Paediatric nurse,Investment analyst,21
Youth worker,Ecologist,27
Community education officer,Health and safety inspector,27
Sub,"Designer, exhibition/display",23
Ship broker,Clinical biochemist,30
Hospital pharmacist,"Scientist, physiological",22
General practice doctor,Paramedic,30
Financial trader,Homeopath,19
Structural engineer,"Education officer, community",32
Multimedia programmer,Archivist,15
Tourism officer,Chief Financial Officer,21
Restaurant manager,"Accountant, chartered public finance",27
"Teacher, English as a foreign language","Therapist, speech and language",20
Plant breeder/geneticist,Geophysical data processor,22
Manufacturing engineer,Public house manager,24
"Designer, jewellery",Event organiser,18
"Accountant, chartered public finance",Camera operator,24
Forest/woodland manager,Tourism officer,20
Arts administrator,Agricultural engineer,18
Barrister's clerk,"Therapist, horticultural",30
"Administrator, arts",Animator,21
Drilling engineer,"Surveyor, building control",16
Special educational needs teacher,Optometrist,23
Teaching laboratory technician,"Designer, interior/spatial",28
Chief Marketing Officer,"Scientist, marine",22
IT technical support officer,"Scientist, research (life sciences)",21
"Scientist, research (physical sciences)",Pensions consultant,17
Social worker,Fish farm manager,29
Restaurant manager,Ophthalmologist,21
"Pharmacist, hospital","Surveyor, rural practice",25
"Teacher, English as a foreign language",Emergency planning/management officer,23
"Education officer, community",Interior and spatial designer,28
Pharmacologist,"Surveyor, rural practice",23
Travel agency manager,Chief Strategy Officer,16
Armed forces technical officer,Interpreter,18
Training and development officer,Landscape architect,25
Public relations account executive,Land,18
Theme park manager,Historic buildings inspector/conservation officer,25
Investment analyst,Financial planner,29
Garment/textile technologist,Volunteer coordinator,32
"Therapist, art",Air cabin crew,25
Telecommunications researcher,Legal secretary,28
Games developer,"Psychologist, counselling",15
Learning mentor,Primary school teacher,18
Conference centre manager,"Pharmacist, community",21
Translator,"Psychologist, occupational",20
"Surveyor, planning and development","Surveyor, land/geomatics",23
Risk analyst,Economist,26
"Surveyor, planning and development",Occupational therapist,28
"Conservator, museum/gallery",Quality manager,30
Warden/ranger,Horticultural consultant,16
"Restaurant manager, fast food",Barista,26
Computer games developer,"Teacher, music",23
"Administrator, charities/voluntary organisations",Art gallery manager,21
Merchant navy officer,"Designer, graphic",17
Logistics and distribution manager,Waste management officer,30
"Psychologist, clinical",Clinical biochemist,25
Pension scheme manager,"Administrator, charities/voluntary organisations",26
Surgeon,Diagnostic radiographer,23
Furniture designer,"Development worker, community",16
"Scientist, clinical (histocompatibility and immunogenetics)",Trade union research officer,27
"Engineer, mining",Museum/gallery conservator,31
"Embryologist, clinical",Barrister,26
"Scientist, physiological","Nurse, adult",22
Learning mentor,Location manager,25
"Production assistant, radio",Agricultural consultant,32
"Surveyor, minerals",Facilities manager,32
Water engineer,Psychiatrist,20
Lexicographer,"Chemist, analytical",29
Land/geomatics surveyor,Retail manager,16
Health and safety inspector,Manufacturing systems engineer,17
Legal secretary,Chief Strategy Officer,30
Trade mark attorney,Advice worker,15
Landscape architect,IT technical support officer,17
"Engineer, drilling","Producer, radio",22
Statistician,"Engineer, site",24
Counsellor,Sport and exercise psychologist,28
Television/film/video producer,Herbalist,28
"Engineer, energy",Midwife,17
Location manager,Health and safety adviser,18
Equality and diversity officer,Systems analyst,21
Mechanical engineer,Midwife,23
Event organiser,Patent attorney,22
"Scientist, research (medical)",English as a foreign language teacher,18
"Engineer, energy",Fitness centre manager,17
Brewing technologist,"Teacher, secondary school",22
Private music teacher,Estate agent,32
"Optician, dispensing",Biomedical scientist,17
Geophysicist/field seismologist,Holiday representative,15
Exercise physiologist,Glass blower/designer,32
Community development worker,Marine scientist,25
Optometrist,Equality and diversity officer,30
Chief Operating Officer,Copy,31
"Editor, commissioning",Product/process development scientist,19
Retail buyer,Community arts worker,18
"Conservator, furniture",Biomedical scientist,20
"Engineer, structural",Occupational therapist,28
"Administrator, Civil Service",Trading standards officer,17
Government social research officer,Oceanographer,20
Educational psychologist,Speech and language therapist,21
"Radiographer, therapeutic",Oncologist,32
Estate agent,Commissioning editor,31
Building surveyor,Archaeologist,25
Land,"Civil engineer, consulting",19
Academic librarian,"Designer, television/film set",25
"Psychologist, prison and probation services",Ship broker,26
Horticultural therapist,Cartographer,27
Diagnostic radiographer,Actuary,32
Risk manager,"Engineer, broadcasting (operations)",29
Fisheries officer,"Sound technician, broadcasting/film/video",19
Geochemist,Facilities manager,15
Community education officer,Sports development officer,27
"Scientist, research (life sciences)",Plant breeder/geneticist,23
"Development worker, international aid","Journalist, broadcasting",17
"Surveyor, hydrographic",Ranger/warden,18
Musician,"Production designer, theatre/television/film",26
Brewing technologist,"Designer, interior/spatial",29
Hospital doctor,Mental health nurse,16
Engineering geologist,Operational researcher,19
Location manager,Secondary school teacher,31
"Engineer, communications","Research officer, government",18
Contracting civil engineer,Barista,25
Retail buyer,"Designer, television/film set",19
"Producer, television/film/video",Fine artist,23
Insurance claims handler,Animator,31
Publishing copy,Animal nutritionist,16
Press photographer,Seismic interpreter,29
Geophysical data processor,"Designer, jewellery",27
Ambulance person,"Psychologist, forensic",25
Television floor manager,"Exhibitions officer, museum/gallery",29
Administrator,"Administrator, charities/voluntary organisations",29
Community pharmacist,Systems developer,24
Hospital pharmacist,Landscape architect,32
Special educational needs teacher,"Education officer, environmental",31
Exhibition designer,Environmental health practitioner,29
Materials engineer,"Research officer, trade union",24
Printmaker,General practice doctor,30
Toxicologist,Dramatherapist,19
Public relations account executive,Games developer,20
"Surveyor, building control",Interpreter,32
Psychiatric nurse,"Teacher, English as a foreign language",17
Town planner,"Nurse, adult",22
"Scientist, research (maths)",Learning disability nurse,17
Orthoptist,Rural practice surveyor,23
Chartered legal executive (England and Wales),Counsellor,23
Claims inspector/assessor,"Embryologist, clinical",17
"Teacher, English as a foreign language",Adult nurse,19
Systems analyst,Community education officer,20
Retail buyer,Careers adviser,18
Volunteer coordinator,Commercial horticulturist,18
Lawyer,Solicitor,26
"Research officer, government",Civil Service administrator,27
Production engineer,"Civil engineer, contracting",18
"Surveyor, minerals",Health visitor,16
Chartered accountant,"Physicist, medical",31
Acupuncturist,"Surveyor, rural practice",23
Drilling engineer,Occupational hygienist,22
"Designer, exhibition/display",Ergonomist,23
Personal assistant,"Engineer, agricultural",20
Health visitor,"Engineer, maintenance",16
Financial risk analyst,Dentist,18
Midwife,Publishing rights manager,16
Tax inspector,Camera operator,27
Animal technologist,Print production planner,28
Health visitor,Accommodation manager,31
Immigration officer,Commissioning editor,20
Purchasing manager,Technical author,31
Community arts worker,Warehouse manager,25
Materials engineer,Legal executive,15
Advertising copywriter,"Therapist, music",25
Biomedical scientist,Clinical biochemist,19
Secretary/administrator,Community pharmacist,29
"Surveyor, rural practice",Aid worker,27
"Accountant, chartered management",Land/geomatics surveyor,23
"Journalist, magazine",Dancer,16
Licensed conveyancer,"Engineer, control and instrumentation",30
"Engineer, production",Actuary,28
"Horticulturist, commercial",Psychiatrist,28
Arts development officer,Photographer,16
Research scientist (maths),Radiation protection practitioner,23
Surgeon,Environmental manager,23
Operations geologist,Video editor,30
Web designer,"Surveyor, rural practice",23
Water quality scientist,Further education lecturer,23
Academic librarian,Metallurgist,19
Microbiologist,"Producer, television/film/video",24
Curator,Clothing/textile technologist,28
Merchant navy officer,"Accountant, chartered",20
Social researcher,"Librarian, public",27
Planning and development surveyor,Community arts worker,21
Social worker,Oncologist,30
Building services engineer,Arboriculturist,16
Location manager,Hydrologist,31
Chief of Staff,Broadcast engineer,19
Best boy,Community development worker,32
Therapeutic radiographer,Arboriculturist,15
Emergency planning/management officer,"Engineer, structural",26
Higher education careers adviser,"Journalist, magazine",26
Public librarian,Child psychotherapist,22
Accounting technician,Financial risk analyst,25
Interpreter,Broadcast engineer,15
Control and instrumentation engineer,Media buyer,21
Barrister,"Therapist, nutritional",24
"Doctor, hospital",English as a second language teacher,30
Brewing technologist,Press photographer,22
"Engineer, civil (contracting)",Health physicist,17
"Production assistant, television",Oceanographer,17
"Exhibitions officer, museum/gallery",Electrical engineer,27
Jewellery designer,Research scientist (maths),31
Hydrogeologist,Health visitor,21
IT consultant,Charity fundraiser,24
Diagnostic radiographer,Educational psychologist,18
Research scientist (medical),Pathologist,22
Print production planner,"Nurse, mental health",17
Primary school teacher,Cartographer,30
"Programmer, systems",Event organiser,18
"Engineer, technical sales",Pensions consultant,21
Orthoptist,Accommodation manager,18
Retail merchandiser,Tourism officer,17
Actuary,Exhibition designer,30
Maintenance engineer,Mechanical engineer,17
Estate manager/land agent,Marketing executive,24
Hospital doctor,"Engineer, biomedical",20
"Journalist, broadcasting",Tour manager,24
Primary school teacher,Clinical psychologist,24
Magazine journalist,Dancer,25
Web designer,Technical author,31
Ship broker,Communications engineer,30
Clinical research associate,Materials engineer,32
Jewellery designer,Futures trader,29
Drilling engineer,Personal assistant,27
Geographical information systems officer,"Librarian, academic",28
"Therapist, speech and language",Technical sales engineer,28
Counsellor,Theatre director,26
"Buyer, retail","Scientist, water quality",27
Theatre manager,"Civil engineer, consulting",23
Counselling psychologist,"Engineer, site",21
Graphic designer,Commercial horticulturist,25
Fine artist,Insurance broker,15
"Education officer, environmental",Heritage manager,19
Control and instrumentation engineer,"Social research officer, government",15
Optometrist,"Doctor, hospital",20
Tree surgeon,Art therapist,17
"Pharmacist, hospital",Tourism officer,15
Armed forces logistics/support/administrative officer,Engineering geologist,23
Chief Technology Officer,Multimedia specialist,28
"Psychologist, occupational","Therapist, nutritional",30
"Administrator, local government",Tax adviser,20
"Development worker, community",Multimedia specialist,16
Dietitian,Phytotherapist,23
Economist,Fisheries officer,20
Teaching laboratory technician,Manufacturing engineer,22
Advertising account planner,Maintenance engineer,24
Archaeologist,Publishing copy,21
Colour technologist,"Teacher, music",24
Therapeutic radiographer,Broadcast presenter,20
Chartered certified accountant,Production manager,20
Health promotion specialist,"Development worker, community",25
Market researcher,Forensic scientist,15
Intelligence analyst,Minerals surveyor,16
"Scientist, physiological",Actor,20
Textile designer,Risk analyst,20
