Name,Job,Salary
Graphic designer,Jewellery designer,24
"Psychotherapist, dance movement",Building control surveyor,25
Sales executive,"Designer, furniture",19
"Designer, television/film set","Teacher, adult education",28
Higher education careers adviser,Tour manager,23
Trade mark attorney,"Engineer, maintenance (IT)",20
Tax adviser,Press photographer,19
"Production designer, theatre/television/film",Firefighter,22
Legal executive,Arts administrator,30
Copy,Quarry manager,19
Insurance risk surveyor,Fast food restaurant manager,19
Hydrologist,Broadcast presenter,19
Television/film/video producer,"Teacher, early years/pre",19
Commercial horticulturist,Theatre director,16
Mining engineer,Sub,22
Event organiser,Airline pilot,27
"Engineer, maintenance (IT)",Chartered loss adjuster,27
Lobbyist,Location manager,16
IT technical support officer,Dispensing optician,29
Media buyer,Newspaper journalist,18
Further education lecturer,Physiological scientist,31
Chartered certified accountant,Manufacturing engineer,30
Multimedia specialist,Mining engineer,27
"Scientist, research (maths)",Fitness centre manager,28
Politician's assistant,Charity officer,21
"Engineer, civil (contracting)",Camera operator,19
Clinical embryologist,Radio producer,31
Public librarian,"Scientist, clinical (histocompatibility and immunogenetics)",17
Consulting civil engineer,Ergonomist,22
Communications engineer,Travel agency manager,15
Commercial art gallery manager,"Nurse, adult",22
"Civil engineer, consulting","Psychotherapist, dance movement",22
"Designer, interior/spatial",Prison officer,17
"Engineer, communications",Art gallery manager,16
Maintenance engineer,Make,16
Warehouse manager,"Engineer, site",20
Minerals surveyor,Theme park manager,24
Barrister's clerk,Petroleum engineer,17
Industrial buyer,Economist,24
Advertising art director,Land,19
"Engineer, production",Sales executive,19
"Psychologist, sport and exercise",Warden/ranger,24
Primary school teacher,Product designer,31
"Engineer, technical sales",Public librarian,18
Hydrographic surveyor,Museum/gallery exhibitions officer,20
Counsellor,Transport planner,25
Tourist information centre manager,Community development worker,20
